no,website,http_version,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
9519,https://www.gamefront.com,2,ok,104.25.20.97,443,0.064997,0.020855,0.005953,0.065130,0.000000,3.046363,3.068597
9543,https://www.google.li,2,ok,216.58.212.131,443,0.040482,0.019491,0.017144,0.040570,0.000000,0.082352,0.082747
9581,https://www.sefon.pro,2,ok,104.27.160.27,443,0.048498,0.016257,0.005406,0.048631,0.000000,0.068175,0.068281
9600,https://www.internetlivestats.com,2,ok,170.249.202.148,443,0.342343,0.219264,0.112350,0.342449,0.000000,0.467229,0.572089
9601,https://www.google.ad,2,ok,216.58.207.67,443,0.076617,0.057837,0.056517,0.076735,0.000000,0.116738,0.117029
9656,https://www.tecnoblog.net,2,ok,172.67.70.69,443,0.046262,0.022804,0.013979,0.046424,0.000000,0.228395,0.228452
9689,https://www.familydoctor.org,2,ok,104.26.5.45,443,0.032301,0.011038,0.009964,0.032580,0.000000,0.868039,0.868121
9694,https://www.oceanwp.org,2,ok,172.67.184.56,443,0.037396,0.015674,0.005743,0.037535,0.000000,0.344306,0.344359
9722,https://www.google.co.mz,2,ok,172.217.22.99,443,0.043297,0.015178,0.013350,0.043402,0.000000,0.090221,0.090641
9726,https://www.staples.ca,2,ok,23.227.38.74,443,0.047231,0.030884,0.029775,0.047338,0.000000,0.307910,0.330672
9738,https://www.google.co.bw,2,ok,172.217.23.131,443,0.033696,0.013880,0.010965,0.033824,0.000000,0.076508,0.076791
9740,https://www.google.com.cy,2,ok,172.217.23.163,443,0.034035,0.015134,0.013661,0.034131,0.000000,0.077775,0.078913
9743,https://www.publicintegrity.org,2,ok,104.20.254.153,443,0.025402,0.008650,0.007617,0.025529,0.000000,0.046117,0.046175
9746,https://www.tamildhool.net,2,ok,172.67.73.187,443,0.040248,0.017767,0.009219,0.040362,0.000000,0.077138,0.144124
9788,https://www.google.co.ug,2,ok,172.217.18.163,443,0.065476,0.042510,0.037507,0.065703,0.000000,0.111185,0.111775
9796,https://www.google.com.gh,2,ok,216.58.205.227,443,0.035457,0.012723,0.011119,0.035561,0.000000,0.074904,0.075152
9800,https://www.applvn.com,2,ok,141.193.213.20,443,0.028306,0.012775,0.010665,0.028422,0.000000,0.215635,0.215720
9813,https://www.iisd.org,2,ok,104.22.20.107,443,0.034532,0.008694,0.007849,0.034684,0.000000,0.519121,0.666441
9820,https://www.specialized.com,2,ok,104.17.51.5,443,0.026245,0.009132,0.007913,0.026373,0.000000,0.162916,0.162981
9840,https://www.ttshow.tw,2,ok,172.67.70.78,443,0.043175,0.014916,0.006271,0.043289,0.000000,0.866688,1.378843
9845,https://www.google.la,2,ok,216.58.207.67,443,0.031043,0.012276,0.011385,0.031167,0.000000,0.079210,0.079617
9852,https://www.google.mg,2,ok,172.217.18.3,443,0.043331,0.025318,0.023634,0.043468,0.000000,0.082695,0.082955
9857,https://www.blogspot.ro,2,ok,172.217.22.41,443,0.036047,0.011153,0.010581,0.036236,0.000000,0.606882,0.607014
9864,https://www.bostonmagazine.com,2,ok,104.18.2.164,443,0.278004,0.264223,0.263470,0.278103,0.000000,1.144140,1.148168
9872,https://www.google.sn,2,ok,172.217.16.131,443,0.032742,0.013904,0.012198,0.032856,0.000000,0.072928,0.073226
9887,https://www.google.bs,2,ok,172.217.16.195,443,0.029951,0.012003,0.010530,0.030040,0.000000,0.070098,0.070605
9892,https://www.google.co.uz,2,ok,216.58.210.3,443,0.036020,0.017843,0.016237,0.036125,0.000000,0.078609,0.079041
